,MolecularFormular,CAS No.,MolecularWeight,PhysicalForm,MeltingPoint,BoilingPoint,Density,RefractiveIndex,Solubility,SMILES
1,C20H30O2,514-10-3,302.451,mcl pl (al-w),173.5,439.5,1.0625,,"vs ace, bz, eth, EtOH",CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(O)=O)[C@H]2CC1
7,C12H8,208-96-8,152.192,,89.4(3),280.0,0.898716,,"i H2O; vs EtOH, eth, bz; sl chl",c1cc2cccc3C=Cc(c1)c23
16,C2H5NO,60-35-5,59.067,trg mcl (al-eth),80.16(4),222.0,0.998685,1.4278,"vs H2O, EtOH",CC(N)=O
31,C12H10O,941-98-0,170.206,,34,297.0,1.117121,1.628022,"i H2O; s EtOH, eth, ace, chl",CC(=O)c1cccc2ccccc12
32,C12H10O,93-08-3,170.206,"nd (lig, dil al)",52(1),302.0,,,"sl EtOH, ctc",CC(=O)c1ccc2ccccc2c1
36,C6H12N2,627-70-3,112.172,liq,-12.5,133.0,0.839020,1.453520,"msc H2O, EtOH, eth; s ace",CC(C)=NN=C(C)C
43,C4H7NO2,625-77-4,101.105,nd (eth),79,223.5,,,"s H2O, EtOH, eth, chl, lig",CC(=O)NC(C)=O
77,C3H3NOS,13250-46-9,101.127,,,132.5,1.152313,1.523118,"s eth, CS2",CC(=O)N=C=S
83,C5H9NO2,1113-68-4,115.131,liq,-25,195.0,1.066325,1.450225,msc H2O; i eth,CN(C(C)=O)C(C)=O
84,C8H15NO,4593-16-2,141.211,liq,-13.6,239.0,0.968425,1.473125,vs H2O,CC1CCCN(C1)C(C)=O
85,C8H8O4,520-45-6,168.148,,109,270.0,,,"vs H2O, eth; sl EtOH, chl",CC(=O)C1C(=O)OC(=CC1=O)C
93,C10H10O3,2243-35-8,178.184,orth pl,49,270.0,1.116965,1.503665,"i H2O; vs EtOH, eth, chl; sl bz, lig",CC(=O)OCC(=O)c1ccccc1
94,C5H8O3,592-20-1,116.116,,,171.0,1.075720,1.414120,"vs H2O, eth, EtOH",CC(=O)COC(C)=O
102,C7H13NO,618-42-8,127.184,liq,-13.4,226.5,1.0119,1.479025,"vs H2O, EtOH",CC(=O)N1CCCCC1
104,C7H11NO2,32161-06-1,141.168,,,218.0,1.14625,1.502620,,CC(=O)N1CCC(=O)CC1
121,C3H5NO,79-06-1,71.078,lf (bz),85(1),192.6,,,"vs H2O, chl; s EtOH, eth, ace",NC(=O)C=C
150,C15H20O2,546-43-0,232.319,nd,76,275.0,,,"vs bz, eth, EtOH, chl",C[C@H]1CCC[C@]2(C)C[C@H]3OC(=O)C(=C)[C@H]3C=C12
173,C6H8O2,999-55-3,112.127,,,121.0,0.944120,1.432020,"sl H2O; s EtOH, eth, acid",C=CCOC(=O)C=C
176,C9H11N,589-09-3,133.190,,,219.0,0.973625,1.56320,"sl H2O; s EtOH, ace; msc eth",C=CCNc1ccccc1
178,C10H12O,936-58-3,148.201,,,228.5,1.00418,1.528921,,OC(CC=C)c1ccccc1
180,C7H12O2,2051-78-7,128.169,,,142.0,0.901720,1.415820,"i H2O; msc EtOH, eth; sl ctc",CCCC(=O)OCC=C
182,C5H11ClSi,4028-23-3,134.680,,,111.0,0.896420,1.419520,,C[Si](C)(Cl)CC=C
183,C4H5ClO2,2937-50-0,120.535,hyg liq,,109.5,1.136,1.422020,,ClC(=O)OCC=C
185,C9H16O,1123-34-8,140.222,,,190.0,0.934122,1.475622,,OC1(CCCCC1)CC=C
189,C8H18O2Si,18388-45-9,174.314,,,155.0,0.857225,1.410420,,CCO[Si](C)(CC=C)OCC
190,C7H15N,5666-17-1,113.201,,,110.0,0.747725,1.420920,,CCN(CC)CC=C
191,C11H14O2,93-15-2,178.228,liq,-2.0,254.7,1.039620,1.534020,"i H2O; s EtOH, eth",COc1ccc(CC=C)cc1OC
194,C4H6O2,1838-59-1,86.090,,,83.6,0.946020,,sl H2O; s EtOH; msc eth,C=CCOC=O
195,C8H8O3,4208-49-5,152.148,,,207.5,1.11525,1.494520,"s eth, ace; sl ctc",C=CCOC(=O)c1occc1
196,C6H10O2,106-92-3,114.142,,,154.0,0.969820,1.433220,,C=CCOCC1CO1
197,C9H16O2,123-68-2,156.222,,,186.0,0.886920,,,CCCCCC(=O)OCC=C
199,C4H5NO,1476-23-9,83.089,,,88.0,,,,C=CCN=C=O
203,C12H14O3,93-28-7,206.237,pr (al),30.5,281.0,1.080620,1.520520,i H2O; s EtOH; sl ctc,COc1cc(CC=C)ccc1OC(C)=O
204,C8H14O2,2835-39-4,142.196,,,154.0,,,,CC(C)CC(=O)OCC=C
205,C4H8Cl2Si,1873-92-3,155.099,,,119.5,1.075820,1.441920,,C[Si](Cl)(Cl)CC=C
